index,tags,text,top_sent_1,top_sent_tag_1,top_sent_score_1,top_sent_2,top_sent_tag_2,top_sent_score_2,top_sent_3,top_sent_tag_3,top_sent_score_3,top_sent_4,top_sent_tag_4,top_sent_score_4,top_sent_5,top_sent_tag_5,top_sent_score_5
10,Fact,"Operation Northwoods, a rumored plan by the Department of Defense to simulate acts of terrorism and to blame them on Cuba, really was proposed by high-level officials (though the plan never went into effect).",Some of the people thought to be responsible for acts of terrorism were actually set up by those responsible.,Conspiracy,0.4445336461067199,The 9/11 attack was staged by the government.,Conspiracy,0.4417745471000671,Government agencies have been secretly involved in the assassination of their own citizens.,Conspiracy,0.4365626573562622,"Government and military exercises (or ‘war games’) were intentionally held on September 11, 2001 to deliberately confuse military personnel and therefore to allow the attacks to take place.",Conspiracy,0.4135831892490387,"Pentagon explosion on 9/11 was caused by a missile, fired as the opening salvo of a coup d’etat by the military-industrial complex, rather than by American Airlines Flight 77.",Conspiracy,0.4087773561477661
11,Conspiracy,"In 1947, space aliens landed in Roswell, New Mexico, and the government covered it all up.",A UFO crashed in New Mexico in 1947 and technology and alien bodies were recovered. The US military has been trying to cover this up ever since.,Conspiracy,0.7435848116874695,Americans keep UFOs that landed on Earth hidden at an air base in Roswell.,Conspiracy,0.7143287658691406,A UFO and its extraterrestrial crew crash-landed in the New Mexico desert near Roswell.,Fiction,0.7029569745063782,Area 51 is full of aliens.,Conspiracy,0.6667458415031433,The US government is hiding information about UFOs.,Conspiracy,0.6491832733154297
12,Fiction,"a secret group of elves, working in a remote location under the leadership of the mysterious “Santa Claus,” make and distribute presents on Christmas Eve.",Santa Claus lives at the North Pole.,Fiction,0.5462909936904907,The common image of Santa Claus as a jolly old man in red robes was created by The Coca-Cola Company.,Misconception,0.4095566868782043,There is a attack on Christian traditions during the holiday season.,Controversy,0.391062468290329,Xmas originated as a secular plan to take the Christ out of Christmas.,Misconception,0.3788993954658508,"A small, secret group of people is actually in control of the world economy.",Conspiracy,0.3581840097904205
13,Fiction,Easter Bunny is real.,The Easter Bunny delivers eggs on Easter morning.,Fiction,0.6814455986022949,The Loch Ness monster is real.,Fiction,0.5248036980628967,Dragons are real.,Fiction,0.4496216773986816,"Bunny Man was a man wearing a rabbit costume (""bunny suit"") who attacks people with an axe.",Fiction,0.4492538571357727,Harry Potter is a real person.,Fiction,0.4260587394237518
14,Fiction,Toot faity is real and leaves pennies in exchange of tooth when the tooth are kept under the pillow at night.,The Tooth Fairy visits children and leaves money under their pillows in exchange of tooth.,Fiction,0.7352836728096008,Ostriches stick their heads in the sand to hide from enemies or to sleep.,Misconception,0.3523256480693817,The ghost boy of Clinton Road is a dead young boy who hangs out under a bridge and returns coins to you after you throw them in the water.,Fiction,0.2928354740142822,A vampire is a real creature that subsists by feeding on the vital essence (generally in the form of blood) of the living. They typically live in isolate forests.,Fiction,0.2890863418579101,El Trauco is a repulsive dwarf-like creature with hypnotic powers that is known to prey on and impregnate unmarried women.,Fiction,0.2776916623115539
15,Controversy,prolonged exposure to sunlight is actually healthy.,cell phones emit dangerous levels of radiation and can cause cancer.,Misconception,0.3534036576747894,"Regular consumption of Red Bull raises dopamine levels, which causes damage in the long term.",Conspiracy,0.3282959759235382,Sunflowers point to the Sun.,Misconception,0.3275438249111175,Commercials in sports give the impression that Red Bull is healthy.,Conspiracy,0.3001725971698761,The average human life span is around 78 years.,Fact,0.296679824590683
16,Conspiracy,climate change is neither occurring nor likely to occur.,Climate Change is an Immediate Threat.,Fact,0.6251338124275208,climate change is a hoax perpetrated by the Chinese.,Conspiracy,0.5781402587890625,Climate change is real and caused by human activity.,Fact,0.5642422437667847,"In 2020, the world experienced record-breaking levels of global warming and climate change.",Fact,0.5372161269187927,The science behind global warming has been invented or distorted out of self-interest.,Conspiracy,0.5262317657470703
17,Conspiracy,World War II did not happened.,The Holocaust never happened.,Conspiracy,0.592908501625061,The Holocaust did not occur or has been grossly exaggerated.,Conspiracy,0.5357380509376526,World War II (1939-1945): The war between the Axis and Allied forces had a major impact on the world and led to the creation of the United Nations.,Fact,0.5069290399551392,Adolf Hitler had committed suicide.,Fact,0.4146022498607635,Hitler escaped from Germany and travelled to South America by U-boat.,Conspiracy,0.3976725339889526
18,Fiction,Marilyn Monroe was more ‘real’ than King Kong or Donald Duck.,"Marilyn Monroe and Robert F. Kennedy had an affair and she was killed by either the FBI or the CIA, who wished to use the murder as a ""point of pressure” against the Kennedys.",Conspiracy,0.4712441265583038,Marilyn Monroe’s death was part of a communist conspiracy.,Conspiracy,0.4383484721183777,Walt Disney is the best cartoonist.,Controversy,0.3913820683956146,"Lee Harvey Oswald did not act alone in the assassination of President John F. Kennedy – an institution such as the FBI, CIA or the Mafia likely played a role.",Conspiracy,0.3795106709003448,Lee Harvey Oswald killed President Kennedy on his own.,Conspiracy,0.3653009235858917
19,Conspiracy,"Pentagon explosion on 9/11 was caused by a missile, fired as the opening salvo of a coup d’etat by the military-industrial complex, rather than by American Airlines Flight 77.","The Pentagon was not hit by a passenger aircraft but something smaller, possibly a missile.",Conspiracy,0.6580684781074524,the 1996 crash of TWA flight 800 was caused by a U.S. military missile.,Conspiracy,0.6408318281173706,Intact windows at the Pentagon and a lack of debris prove that the Pentagon was not hit by an aircraft.,Conspiracy,0.6049495339393616,"United Airlines Flight 93, which is said to have crashed in Pennsylvania, was actually downed by the US military.",Conspiracy,0.5646848082542419,9/11 was purely a plane accident.,Conspiracy,0.5400578379631042
20,Conspiracy,Lee Harvey Oswald killed President Kennedy on his own.,"Lee Harvey Oswald did not act alone in the assassination of President John F. Kennedy – an institution such as the FBI, CIA or the Mafia likely played a role.",Conspiracy,0.7393782734870911,President Kennedy was killed by an organized conspiracy.,Conspiracy,0.6989327669143677,"Rafael Cruz, the father of Texas Senator and Republican presidential candidate for the 2016 elections Ted Cruz, had ties to Lee Harvey Oswald for the Assassination of John F. Kennedy.",Conspiracy,0.637207567691803,"Marilyn Monroe and Robert F. Kennedy had an affair and she was killed by either the FBI or the CIA, who wished to use the murder as a ""point of pressure” against the Kennedys.",Conspiracy,0.6353563666343689,The CIA was involved in the death of JFK.,Conspiracy,0.6325779557228088
21,Conspiracy,9/11 was purely a plane accident.,Reports that some of the 9/11 plane hijackers are still alive prove that others were responsible for the attacks.,Conspiracy,0.6060147881507874,The 9/11 attack was staged by the government.,Conspiracy,0.5884140133857727,The fact that the US government is withholding information about the 9/11 attacks is evidence of a cover-up.,Conspiracy,0.577158510684967,The World Trade Centre towers were brought down by a controlled demolition.,Conspiracy,0.5645676255226135,"United Airlines Flight 93, which is said to have crashed in Pennsylvania, was actually downed by the US military.",Conspiracy,0.5425551533699036
22,Controversy,secret service agencies routinely violate privacy laws.,Government agencies secretly keep certain outspoken celebrities and citizens under constant surveillance.,Conspiracy,0.5459381937980652,Government Surveillance is Unethical.,Controversy,0.4633694887161255,Government agencies have been secretly involved in the assassination of their own citizens.,Conspiracy,0.4603939354419708,The Patriot Act increases governments surveillance powers on individuals records held by third parties and searching property without warrant.,Controversy,0.4082497060298919,"Secret organizations communicate with extra terrestrials, but keep this fact from the public.",Conspiracy,0.4020971059799194
23,Fact,Watergate incident: Nixon had approved plans to cover up his administration's involvement in the break-in had later tried to use federal officials to deflect attention from the investigation.,"The Watergate hotel room used by Democratic National Committee was bugged by Republican officials, operating at the behest of the White House.",Fact,0.5771017074584961,Bangabandhu is described as the proclaimer of the independence  of Bangladesh  in all diplomatic secret documents of the Richard Nixon administration.,Fact,0.4860506951808929,The United States federal government intentionally covered up crucial information in the aftermath of JFK assassination to prevent the conspiracy from being discovered.,Conspiracy,0.4778588116168976,Officials investigating the 9/11 attacks have sought to suppress the emergence of evidence that might contradict the ‘official account’.,Conspiracy,0.453250527381897,former President Barack Obama's administration had wiretapped Donald Trump’s phones at his Trump Tower office late in the 2016 presidential campaign.,Conspiracy,0.4038718342781067
24,Fact,There were incidents of corporate corruption in the US.,"Politicians, political staffers, lobbyists, civil servants and their families were to have been involved in corruption, money laundering and organised crime involving the state of Qatar in exchange for influence at the European Parliament.",Conspiracy,0.4296930432319641,"police officers are corrupt, aggressive, and abuse their power.",Stereotype,0.4210639894008636,Many of the major events in recent world history have been caused by a Jewish conspiracy.,Conspiracy,0.3800713419914245,The American government is controlled by a cabal of bankers.,Controversy,0.364212304353714,The US government deliberately conceals a lot of information from the public.,Controversy,0.3498274981975555
25,Conspiracy,climate change is a hoax perpetrated by the Chinese.,Climate change is real and caused by human activity.,Fact,0.6767393946647644,climate change is neither occurring nor likely to occur.,Conspiracy,0.5781402587890625,Climate Change is an Immediate Threat.,Fact,0.5751197934150696,global warming is a deliberate fraud.,Conspiracy,0.5560500621795654,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,Conspiracy,0.5449870824813843
26,Conspiracy,that Barack Obama was not born in the US.,Former U.S. President Barack Obama was not born in the United States and was an illegal immigrant.,Conspiracy,0.7603234052658081,"United States President Barack Obama’s birth certificate, stating that he was born in Hawaii, is a forgery.",Conspiracy,0.6386027336120605,Barack Obama is the best politician.,Controversy,0.5220273733139038,QAnon revealed the truth about Barak Obama and showed the world how Trump was really saving the world.,Conspiracy,0.4111755192279815,"President Obama had offered to pay out of his own pocket for the museum of Muslim culture, yet it's the Republican National Committee who's paying for this.",Misconception,0.3929668068885803
27,Conspiracy,vaccines cause autism.,Vaccines cause autism.,Conspiracy,1.0,Vaccines are a form of population control.,Conspiracy,0.6495375037193298,Vaccines are safe and effective.,Fact,0.6202458143234253,pharmaceutical industry has mounted a cover-up of a causal link between vaccines and autism.,Conspiracy,0.6127407550811768,Vaccinations are an Essential Part of Public Health.,Fact,0.5009639859199524
28,Conspiracy,Contraceptives are a form of Black genocide. They are intended to eradicate Black people.,African Americans are planning to overthrow the government and enslave the white population.,Conspiracy,0.4892948269844055,"Support for Black lives matter movement is decreasing among Whites, Hispanics, and even among African Americans.",Stereotype,0.4676693081855774,The United States federal government  deliberately targeted Black Lives Matter protesters in an attempt to disrupt and discourage the Black Lives Matter movement during the summer of 2020.,Stereotype,0.4612691700458526,Minority groups are racist towards white people.,Controversy,0.4498932659626007,The government deliberately spread the AIDS virus in the black community.,Conspiracy,0.4387465715408325
29,Conspiracy,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",The pharmaceutical industry administers harmful treatments without people’s consent in order to keep people sick and boost drug sales.,Conspiracy,0.558836817741394,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",Conspiracy,0.5188166499137878,The AIDS virus was created deliberately in a government laboratory.,Conspiracy,0.5056005716323853,doctors deliberately manufactured the AIDS virus as the product of a biowarfare program targeting gay people.,Conspiracy,0.4801738560199737,The HIV virus has been deliberately spread amongst groups such as homosexuals and African Americans.,Conspiracy,0.4763789474964142
30,Conspiracy,condom use causes HIV infections.,The HIV virus has been deliberately spread amongst groups such as homosexuals and African Americans.,Conspiracy,0.4393256902694702,The AIDS virus was created deliberately in a government laboratory.,Conspiracy,0.4363538324832916,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",Conspiracy,0.4170301258563995,The US government is behind the spread of AIDS in Africa.,Conspiracy,0.3987247943878174,The government deliberately spread the AIDS virus in the homosexual community.,Conspiracy,0.3883290588855743
31,Conspiracy,Nero and his loyal servants deliberately had ignited the great fire of Rome in the year 64 AD.,The Great Fire of London in 1666 was started by an arsonist.,Controversy,0.4152421951293945,The assassination of Julius Caesar was a conspiracy orchestrated by Marcus Brutus and other Roman senators.,Conspiracy,0.406994104385376,The rise of the Roman Empire established a unified political and cultural entity that would influence the world for centuries to come.,Fact,0.3497716784477234,Julius Caesar is the best military leader.,Controversy,0.3483723104000091,The Roman Empire stretched from Britain to the Middle East in its heyday.,Fact,0.3376829326152801
32,Conspiracy,There are young women who conspire with the Devil and therefore need to be burnt alive.,The musical interval tritone was thought to summon the devil and was banned by the Catholic Church.,Misconception,0.3979414701461792,Satanists regularly sexually abuse and murder children in their rites.,Controversy,0.3930423855781555,"Cures for certain deadly and common diseases exist, but are being deliberately withheld.",Conspiracy,0.3697400093078613,The Salem Witch Trials were an example of mass hysteria and scapegoating.,Controversy,0.3617646694183349,There is no good data showing secondhand smoke kills people.,Misconception,0.3434547781944275
33,Conspiracy,Modern technology is a form of sorcery designed by hostile Western plots to harm or control others.,technology is inherently evil or detrimental to society.,Misconception,0.4468799531459808,New and better technology is suppressed by those whose current business would be disrupted by it.,Conspiracy,0.3666596412658691,Advanced technology is secretly used to placate the people and suppress dissent.,Conspiracy,0.355798065662384,"The human mind can be altered or controlled by certain psychological techniques making them cooperate in certain actions, sometimes illegal.",Controversy,0.3531800508499145,Witches and wizards can cast spells.,Fiction,0.3277751505374908
34,Conspiracy,Testing for COVID-19 is a means to inserting microchips into our brain.,Barcodes on everyday products are used by the government to track and spy on its citizens.,Conspiracy,0.3456390500068664,The New Zealand government uses any means possible to spy on its citizens.,Conspiracy,0.3326499164104461,The holographic principle states that the universe can be viewed as a two-dimensional hologram.,Fact,0.3320392668247223,"In the 1950s, the Central Intelligence Agency administered LSD and related drugs under Project MKULTRA, in an effort to investigate the possibility of “mind control.”.",Fact,0.3135942220687866,Fluoridated drinking water is a ploy to control minds.,Conspiracy,0.3126042783260345
35,Conspiracy,Lockdown and vaccination are government means to control the masses.,Governments want to use compulsory vaccination against COVID-19 to achieve monitoring of the population.,Conspiracy,0.6039736866950989,Vaccines are a form of population control.,Conspiracy,0.5895678400993347,The government is using mind control to manipulate people.,Conspiracy,0.5080627799034119,Vaccinations are an Essential Part of Public Health.,Fact,0.4562644064426422,The government withholds a lot of information about diseases and their treatments from the public.,Conspiracy,0.4375850260257721
36,Conspiracy,COVID-19 is a biological weapon intended to eliminate the overcrowded human population.,The HIV/aids virus has been genetically engineered to wipe out certain sectors of the population.,Conspiracy,0.4624336063861847,Vaccines are a form of population control.,Conspiracy,0.4579899907112121,COVID-19 pandemic is intentionally used for the genocide of domestic population to make a room for migrants to move in.,Conspiracy,0.4550137817859649,Human population growth is decreasing and the world population is expected to peak and then begin falling during the 21st century.,Misconception,0.4497836828231811,"overpopulation is the primary threat to the environment and that the only solution is to completely halt immigration, or for the most extreme, eradicate minority groups and ethnicities.",Conspiracy,0.4422792792320251
37,Conspiracy,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",SARS-CoV-2 (coronavirus) is artificially created to increase people’s dependency on the pharmaceutical business.,Conspiracy,0.5976811647415161,The pharmaceutical industry administers harmful treatments without people’s consent in order to keep people sick and boost drug sales.,Conspiracy,0.548410952091217,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",Conspiracy,0.5188166499137878,Pharmaceutical companies and various government agencies conspire to maintain profits by ensuring that the general public uses only conventional medicine.,Conspiracy,0.4857771694660187,The Food and Drug Administration deliberately suppresses natural cures due to influence from the pharmaceutical industry.,Conspiracy,0.4751302003860473
38,Conspiracy,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,The Chinese government is using mind control techniques.,Conspiracy,0.5404068231582642,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,Conspiracy,0.4289807081222534,The New Zealand government uses any means possible to spy on its citizens.,Conspiracy,0.4008092880249023,The government refuses to tell us the truth about flying saucers.,Conspiracy,0.3953776359558105,The government has employed people in secret to assassinate others.,Conspiracy,0.3934677243232727
39,Conspiracy,The state took all the face masks and respirators so that it could give them away to the select few.,The Chinese government intentionally sells ineffective face masks and dubious tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.,Conspiracy,0.4028465449810028,"Kuchisake-onna is a Japanese malevolent spirit of a mutilated woman. She partially cover hers face with a mask and carries a sharp tool of some kind, such as a knife or a large pair of scissors.",Fiction,0.3323810696601867,"Malevolent strangers hide poisons or sharp objects such as razor blades, needles, or broken glass in candy and distribute the candy in order to harm random children, especially during Halloween trick-or-treating.",Controversy,0.2836383581161499,Widespread testing is a way for the government to obtain the DNA of the population so that it can subsequently harbor it and abuse it.,Conspiracy,0.2714007794857025,"Tree spiking — hammering small spikes into the trunk of a tree that may be logged with the intention of damaging the chainsaw or mill blades and arsons are proactive actions to prevent further environmental damage, although they may look like civic disobedience at the face value.",Controversy,0.2629295289516449
40,Conspiracy,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,"Relations between the US and China continued to deteriorate in 2020, as both countries imposed sanctions on one another.",Fact,0.4793266654014587,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,Conspiracy,0.4289543926715851,The Japanese are deliberately conspiring to destroy the American economy.,Conspiracy,0.4190029501914978,Asian countries are deliberately conspiring to destroy the Western economy.,Conspiracy,0.3952436745166778,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,Conspiracy,0.3844364285469055
41,Conspiracy,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”.,The European Union is trying to take control of the United Kingdom.,Conspiracy,0.4073278307914734,The US-Mexico border experienced a crisis in 2020 as thousands of migrants attempted to cross into the US.,Fact,0.4040709733963012,the use of pencils in UK voting stations in the lead-up to the EU membership referendum allowed for MI5 to erase the results of Brexit voters.,Conspiracy,0.3795552849769592,"The US military were ordered to ‘stand down’ (that is, not to respond) prior to the 9/11 attacks so as to allow the attacks to occur.",Conspiracy,0.3695879876613617,Brexit was the United Kingdom's decision to leave the European Union in 2016.,Fact,0.3617823123931885
42,Conspiracy,"COVID-19 (coronavirus) epidemic could have been stopped right at the start, but the large companies made a business out of keeping it going.",Drug companies conspire to keep people sick to reap profits.,Conspiracy,0.3752928376197815,"Because they had foreknowledge of the attacks, a number of individuals and/or companies were able to make a profit by selling shares in trades likely to be affected the attacks (e.g. airline companies).",Conspiracy,0.3491594493389129,The Covid-19 Pandemic (2020 – Present) has caused a global disruption of daily life and the death of millions.,Fact,0.3118207454681396,New and better technology is suppressed by those whose current business would be disrupted by it.,Conspiracy,0.3112848699092865,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",Conspiracy,0.31061851978302
43,Controversy,"The governments are concealing the real numbers of fatalities especially in children and young people, to prevent panic.","There are hidden organizations that influence citizens’ lives in ways that people do not understand, and that explain many events that occur in society.",Conspiracy,0.4254188537597656,Lockdown and vaccination are government means to control the masses.,Conspiracy,0.3844870924949646,"Government and military exercises (or ‘war games’) were intentionally held on September 11, 2001 to deliberately confuse military personnel and therefore to allow the attacks to take place.",Conspiracy,0.3808984160423279,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.",Conspiracy,0.3755603432655334,High-level politicians have had certain people killed in order to prevent embarrassing events from becoming publicly known.,Conspiracy,0.3685845136642456
44,Conspiracy,SARS-CoV-2 (coronavirus) is artificially created to increase people’s dependency on the pharmaceutical business.,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",Conspiracy,0.5976811647415161,The Food and Drug Administration deliberately suppresses natural cures due to influence from the pharmaceutical industry.,Conspiracy,0.4644737839698791,Companies sell medically prescribed drugs which they know are addictive.,Controversy,0.4641054570674896,Drug companies call normal behaviour a disorder so they can invent drugs to cure it.,Controversy,0.4479169845581054,The pharmaceutical industry administers harmful treatments without people’s consent in order to keep people sick and boost drug sales.,Conspiracy,0.441043347120285
45,Conspiracy,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,Protests in Hong Kong continued in 2020 demanding greater autonomy from China.,Fact,0.5641357898712158,The Chinese government is using mind control techniques.,Conspiracy,0.4895867109298706,Asian countries are deliberately conspiring to destroy the Western economy.,Conspiracy,0.4492804110050201,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,Conspiracy,0.4289807081222534,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,Conspiracy,0.4289543926715851
46,Conspiracy,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,Conspiracy,0.3844364285469055,"Autonomous weapons, such as drones, are being developed by several countries since the 2010s, raising fears of a new arms race.",Fact,0.3805813789367676,The discovery of bronze and its widespread use for tools and weapons revolutionized technology and warfare.,Fact,0.3660298883914947,The Chinese government is using mind control techniques.,Conspiracy,0.3588273525238037,North Korea received Soviet and Chinese aid in developing its chemical industry.,Conspiracy,0.3559365272521972
47,Conspiracy,The Chinese government intentionally sells ineffective face masks and dubious tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.,The state took all the face masks and respirators so that it could give them away to the select few.,Conspiracy,0.4028465449810028,"The re-education facilities in Sinjiang, China are actually detention centres that captured millions of ethnic Uyghurs and other minorities in Xinjiang arbitrarily, where there have been deaths in custody, physical and psychological abuse and torture, as well as lack of access to medical care.",Fact,0.3867300450801849,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,Conspiracy,0.3826430439949035,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,Conspiracy,0.3803864419460296,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",Conspiracy,0.367186963558197
48,Conspiracy,Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,Bill Gates is the best philanthropist.,Controversy,0.472496747970581,Vaccines are a form of population control.,Conspiracy,0.4695443511009216,vaccines cause autism.,Conspiracy,0.4654164016246795,Vaccines cause autism.,Conspiracy,0.4654164016246795,Bill Gates is the best software engineer.,Controversy,0.4558326005935669
