name,tags,sub_tags,True or not?,Previous Tags,Comment,paper link,data_source,GPT3 believes?,text,text_len
George Soros aimed to destroy the real Hungary through secret plots by increasing (Muslim) mass immigration to Hungary,Conspiracy,"Regional, Religion",False,Beliefs in conspiracy theories (CT): the role of country context paper,"Take Hungary under Viktor Orban as an example: Probably the single most important conspiracy theory used by Orban and his government is the theory of George Soros aiming to destroy the real Hungary through secret plots such as the increase of (Muslim) mass immigration to Hungary or the implementation of anti-Hungarian civil society organizations and universities inside Hungary. The focus on Soros not only builds on anti-Semitic and anti-capitalist stereotypes that have been prevalent in parts of the society for a long time, but by insisting on them in the repeated use of the Soros conspiracy theory, it makes these stereotypes and their socialization effects even more enduring (e.g. Plenta https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358#).",https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers,,George Soros aimed to destroy the real Hungary through secret plots by increasing (Muslim) mass immigration to Hungary.,118
George Soros aimed to destroy the real Hungary through secret plots by the implementation of anti-Hungarian civil society organizations and universities inside Hungary.,Conspiracy,"Political, Regional",False,Beliefs in conspiracy theories (CT): the role of country context paper,,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers,,George Soros aimed to destroy the real Hungary through secret plots by the implementation of anti-Hungarian civil society organizations and universities inside Hungary.,168
Russian government has purposively shot the airplane containing Kaczynski’s brother to kill him,Conspiracy,Political,False,Beliefs in conspiracy theories (CT): the role of country context paper,"After his twin brother died in an airplane accident over Russian ground in 2010, Kaczynski has ever since argued that the Russian government has purposively shot the airplane.",https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers,,Russian government has purposively shot the airplane containing Kaczynski’s brother to kill him.,95
There is a secret German-led plot that – under the framework of European integration – wants to recolonize Poland and destroy Polish values.,Conspiracy,"Political, Regional",False,Beliefs in conspiracy theories (CT): the role of country context paper,"Furthermore, the Polish government has often indicated that there is a secret German-led plot that – under the framework of European integration – wants to recolonize Poland and destroy Polish values.",https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers,,There is a secret German-led plot that – under the framework of European integration – wants to recolonize Poland and destroy Polish values.,140
The US government deliberately conceals a lot of information from the public,Controversy,Political,False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,The US government deliberately conceals a lot of information from the public.,76
Evidence of unidentified flying objects and extraterrestrial visitors is being suppressed by the government,Conspiracy,"Political, Science",False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Evidence of unidentified flying objects and extraterrestrial visitors is being suppressed by the government.,107
The HIV/aids virus has been genetically engineered to wipe out certain sectors of the population,Conspiracy,"Medicine, Science",False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,The HIV/aids virus has been genetically engineered to wipe out certain sectors of the population.,96
The moon landing was a hoax,Conspiracy,Science,False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,The moon landing was a hoax.,27
Various wars in the Middle East were launched by oil companies,Conspiracy,Political,False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Various wars in the Middle East were launched by oil companies.,62
The science behind global warming has been invented or distorted out of self-interest,Conspiracy,Science,False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,The science behind global warming has been invented or distorted out of self-interest.,85
The US government covered up crucial information in the aftermath of J. F. Kennedy’s assassination,Conspiracy,Political,False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,The US government covered up crucial information in the aftermath of J. F. Kennedy’s assassination.,98
Ebola is a man-made virus,Conspiracy,Science,False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Ebola is a man-made virus.,25
Red Bull contains illegal substances that raise the desire for the product,Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Red Bull contains illegal substances that raise the desire for the product.,74
Subliminal messages in Red Bull television commercials make consumers believe that Red Bull improves one's health,Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Subliminal messages in Red Bull television commercials make consumers believe that Red Bull improves one's health.,113
"The extract ""testiculus taurus"" found in Red Bull has unknown side effects",Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"The extract ""testiculus taurus"" found in Red Bull has unknown side effects.",74
Commercials in sports give the impression that Red Bull is healthy,Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Commercials in sports give the impression that Red Bull is healthy.,66
"In the beginning, Red Bull was illegal for minors in America, which raises questions as to its subsequent legalization",Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"In the beginning, Red Bull was illegal for minors in America, which raises questions as to its subsequent legalization.",118
"Regular consumption of Red Bull raises dopamine levels, which causes damage in the long term",Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"Regular consumption of Red Bull raises dopamine levels, which causes damage in the long term.",92
"The slogan ""Red Bull gives you wings"" is used because in animal experiments, rats grew rudiment wings",Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"The slogan ""Red Bull gives you wings"" is used because in animal experiments, rats grew rudiment wings.",101
"If a can of Red Bull is heated up to 104ºF, it releases health-threatening substances",Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"If a can of Red Bull is heated up to 104ºF, it releases health-threatening substances.",85
The official inventor of Red Bull pays 10 million Euros each year to keep food controllers quiet,Conspiracy,"Company / Pharmacy / Organization, RedBull",False,"Connecting the dots paper, Fictitious Conspiracy, Red Bull",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,The official inventor of Red Bull pays 10 million Euros each year to keep food controllers quiet.,96
Horoscopes are right too often for it to be a coincidence,Controversy,Science,False,"Connecting the dots paper, Supernatural beliefs",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Horoscopes are right too often for it to be a coincidence.,57
Good luck charms don't work,Fact,Mythical / Supernatural,True,"Connecting the dots paper, Supernatural beliefs",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Good luck charms don't work.,27
It is not possible to harm others merely by thinking bad thoughts about them,Fact,Science,True,"Connecting the dots paper, Supernatural beliefs",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,It is not possible to harm others merely by thinking bad thoughts about them.,76
Numbers like 13 and 7 have no special powers,Fact,Mythical / Supernatural,True,"Connecting the dots paper, Supernatural beliefs",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,Numbers like 13 and 7 have no special powers.,44
The government refuses to tell us the truth about flying saucers,Conspiracy,Science,False,"Connecting the dots paper, Supernatural beliefs",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,The government refuses to tell us the truth about flying saucers.,64
"There is an unknown, inexplicable energy all around us that makes us experience events, realize important insights, or meet certain people at a particular time. A lot of what we see, hear, think, or do is not a coincidence, but the result of mysterious forces that are all around us.",Controversy,Science,False,"Connecting the dots paper, Supernatural beliefs",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"There is an unknown, inexplicable energy all around us that makes us experience events, realize important insights, or meet certain people at a particular time. A lot of what we see, hear, think, or do is not a coincidence, but the result of mysterious forces that are all around us.",283
"There are hidden organizations that influence citizens’ lives in ways that people do not understand, and that explain many events that occur in society.",Conspiracy,Company / Pharmacy / Organization,False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"There are hidden organizations that influence citizens’ lives in ways that people do not understand, and that explain many events that occur in society.",152
"There are all sorts of unknown and secret organizations that keep track of what citizens are doing, put impactful events in motion, and make sure that we receive certain news at a particular time. A lot of what we see, hear, think, or do is not a coincidence, but a result of secret organizations that influence us.",Conspiracy,Company / Pharmacy / Organization,False,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"There are all sorts of unknown and secret organizations that keep track of what citizens are doing, put impactful events in motion, and make sure that we receive certain news at a particular time. A lot of what we see, hear, think, or do is not a coincidence, but a result of secret organizations that influence us.",315
"The federal authorities
routinely collect data on phone calls, emails and other electronic
traffic that Americans generate, regardless of whether they have any
bearing on a counterterrorism investigation",Conspiracy,Political,Dont Know,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"The federal authorities routinely collect data on phone calls, emails and other electronic traffic that Americans generate, regardless of whether they have any bearing on a counterterrorism investigation.",203
"The NSA reads the content of
2,000 e-mail messages and Internet chats every month, and that most
of these messages are sent by people who are not communicating about
terrorist plots. The government desperately wanted to keep this practice a secret.",Conspiracy,Political,Dont Know,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"The NSA reads the content of 2,000 e-mail messages and Internet chats every month, and that most of these messages are sent by people who are not communicating about terrorist plots. The government desperately wanted to keep this practice a secret.",248
"The US government has been
linked to the 9/11 attacks. It is said that there was advance knowledge of the attacks among high-level government officials. There are many inconsistencies in the official accounts and the current ongoing inquests are still uncovering new information that casts these accounts into serious doubt.",Conspiracy,"9/11, Political",Dont Know,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,The US government has been linked to the 9/11 attacks. It is said that there was advance knowledge of the attacks among high-level government officials. There are many inconsistencies in the official accounts and the current ongoing inquests are still uncovering new information that casts these accounts into serious doubt.,324
British government was involved in the death of Princess Diana,Conspiracy,Political,Dont Know,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,British government was involved in the death of Princess Diana.,62
"There is no evidence at all to suggest that the American government monitors ordinary citizens indiscriminately, without adequate oversight and targeting",Controversy,Political,Dont Know,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"There is no evidence at all to suggest that the American government monitors ordinary citizens indiscriminately, without adequate oversight and targeting.",153
"A recent survey by the Pew Research Center and the Washington Post of 1,004 adults showed that an overwhelming majority of Americans support the NSA’s surveillance efforts",Controversy,Political,Dont Know,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"A recent survey by the Pew Research Center and the Washington Post of 1,004 adults showed that an overwhelming majority of Americans support the NSA’s surveillance efforts.",171
"It is said that there was
advance knowledge of the 9/11 attacks among high-level government
officials. However, there is no evidence to support this account and
the current ongoing inquests are revealing only information that is
consistent with the official statements.",Controversy,"9/11, Political",Dont Know,"Connecting the dots paper, Existing Conspiracy",,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,,"It is said that there was advance knowledge of the 9/11 attacks among high-level government officials. However, there is no evidence to support this account and the current ongoing inquests are revealing only information that is consistent with the official statements.",269
"ISIS was created by the United States and Israel, in order to create
chaos in the Middle East and make Islam look bad",Conspiracy,Political,False,conspiracy beliefs among ethnic and Muslim paper,,https://onlinelibrary-wiley-com.proxy.lib.uwaterloo.ca/doi/pdf/10.1002/acp.3442,CT papers,,"ISIS was created by the United States and Israel, in order to create chaos in the Middle East and make Islam look bad.",117
"The United States carried out the attacks of 11 September 2001 themselves, in
order to invade countries in the Middle East and make Islam look bad",Conspiracy,"9/11, Political",False,conspiracy beliefs among ethnic and Muslim paper,,https://onlinelibrary-wiley-com.proxy.lib.uwaterloo.ca/doi/pdf/10.1002/acp.3442,CT papers,,"The United States carried out the attacks of 11 September 2001 themselves, in order to invade countries in the Middle East and make Islam look bad.",146
The holocaust was largely made up in order to secure the State of Israel,Conspiracy,Political,False,conspiracy beliefs among ethnic and Muslim paper,,https://onlinelibrary-wiley-com.proxy.lib.uwaterloo.ca/doi/pdf/10.1002/acp.3442,CT papers,,The holocaust was largely made up in order to secure the State of Israel.,72
