index,Name,tags,sub_tags,True or not?,Previous Tags,Comment,paper link,data_source,GPT3 believes?,text,text_len,broken_sub_tags
19,9/11 was purely a plane accident,Conspiracy,"9/11, Political",False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,9/11 was purely a plane accident.,32,9/11
19,9/11 was purely a plane accident,Conspiracy,"9/11, Political",False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,9/11 was purely a plane accident.,32,Political
20,secret service agencies routinely violate privacy laws,Controversy,Political,Plausible,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,secret service agencies routinely violate privacy laws.,54,Political
21,Watergate incident: Nixon had approved plans to cover up his administration's involvement in the break-in had later tried to use federal officials to deflect attention from the investigation.,Fact,Political,True,Belief in conspiracy theory paper,description source: wikipedia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Watergate incident: Nixon had approved plans to cover up his administration's involvement in the break-in had later tried to use federal officials to deflect attention from the investigation.,191,Political
22, There were incidents of corporate corruption in the US,Fact,Political,True,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,There were incidents of corporate corruption in the US.,55,Political
23,climate change is a hoax perpetrated by the Chinese,Conspiracy,"Environment, Regional, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,climate change is a hoax perpetrated by the Chinese.,51,Environment
23,climate change is a hoax perpetrated by the Chinese,Conspiracy,"Environment, Regional, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,climate change is a hoax perpetrated by the Chinese.,51,Regional
23,climate change is a hoax perpetrated by the Chinese,Conspiracy,"Environment, Regional, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,climate change is a hoax perpetrated by the Chinese.,51,Science
24,vaccines cause autism,Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,vaccines cause autism.,21,Medicine
24,vaccines cause autism,Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,vaccines cause autism.,21,Science
25,Contraceptives are a form of Black genocide. They are intended to eradicate Black people.,Conspiracy,Racial,False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Contraceptives are a form of Black genocide. They are intended to eradicate Black people.,89,Racial
26,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,"one convinced believer of AIDS conspiracy theories was Thabo Mbeki, President of South Africa from 1999 to 2008. Statistical model estimates indicate that in the period between 2000 and 2005, approximately 330,000 South African people died due to governmental decisions not to implement antiretroviral treatment programs",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",169,Medicine
26,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,"one convinced believer of AIDS conspiracy theories was Thabo Mbeki, President of South Africa from 1999 to 2008. Statistical model estimates indicate that in the period between 2000 and 2005, approximately 330,000 South African people died due to governmental decisions not to implement antiretroviral treatment programs",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",169,Science
27,condom use causes HIV infections,Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,condom use causes HIV infections.,32,Medicine
27,condom use causes HIV infections,Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,condom use causes HIV infections.,32,Science
28,Nero and his loyal servants deliberately had ignited the great fire of Rome in the year 64 AD,Conspiracy,Political,False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Nero and his loyal servants deliberately had ignited the great fire of Rome in the year 64 AD.,93,Political
29,There are young women who conspire with the Devil and therefore need to be burnt alive,Conspiracy,Mythical / Supernatural,False,Belief in conspiracy theory paper,Witch hunting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,There are young women who conspire with the Devil and therefore need to be burnt alive.,86,Mythical / Supernatural
30,Modern technology is a form of sorcery designed by hostile Western plots to harm or control others,Conspiracy,"Regional, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Modern technology is a form of sorcery designed by hostile Western plots to harm or control others.,98,Regional
30,Modern technology is a form of sorcery designed by hostile Western plots to harm or control others,Conspiracy,"Regional, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Modern technology is a form of sorcery designed by hostile Western plots to harm or control others.,98,Science
31, Testing for COVID-19 is a means to inserting microchips into our brain,Conspiracy,"Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Testing for COVID-19 is a means to inserting microchips into our brain.,71,Covid19
31, Testing for COVID-19 is a means to inserting microchips into our brain,Conspiracy,"Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Testing for COVID-19 is a means to inserting microchips into our brain.,71,Science
32,Lockdown and vaccination are government means to control the masses,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Lockdown and vaccination are government means to control the masses.,67,Covid19
32,Lockdown and vaccination are government means to control the masses,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Lockdown and vaccination are government means to control the masses.,67,Political
32,Lockdown and vaccination are government means to control the masses,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Lockdown and vaccination are government means to control the masses.,67,Science
33,COVID-19 is a biological weapon intended to eliminate the overcrowded human population,Conspiracy,"Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,COVID-19 is a biological weapon intended to eliminate the overcrowded human population.,86,Covid19
33,COVID-19 is a biological weapon intended to eliminate the overcrowded human population,Conspiracy,"Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,COVID-19 is a biological weapon intended to eliminate the overcrowded human population.,86,Science
34,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs",Conspiracy,"Company / Pharmacy / Organization, Covid19",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",138,Company / Pharmacy / Organization
34,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs",Conspiracy,"Company / Pharmacy / Organization, Covid19",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",138,Covid19
35,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret,Conspiracy,"Covid19, Political, Regional, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,101,Covid19
35,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret,Conspiracy,"Covid19, Political, Regional, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,101,Political
35,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret,Conspiracy,"Covid19, Political, Regional, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,101,Regional
35,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret,Conspiracy,"Covid19, Political, Regional, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,101,Science
36,The state took all the face masks and respirators so that it could give them away to the select few,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The state took all the face masks and respirators so that it could give them away to the select few.,99,Covid19
36,The state took all the face masks and respirators so that it could give them away to the select few,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The state took all the face masks and respirators so that it could give them away to the select few.,99,Political
36,The state took all the face masks and respirators so that it could give them away to the select few,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The state took all the face masks and respirators so that it could give them away to the select few.,99,Science
37,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,80,Covid19
37,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,80,Political
37,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,80,Science
38,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”.,119,Covid19
38,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”.,119,Political
38,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”.,119,Science
39,"COVID-19 (coronavirus) epidemic could have been stopped right at the start,
but the large companies made a business out of keeping it going",Conspiracy,"Company / Pharmacy / Organization, Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"COVID-19 (coronavirus) epidemic could have been stopped right at the start, but the large companies made a business out of keeping it going.",139,Company / Pharmacy / Organization
39,"COVID-19 (coronavirus) epidemic could have been stopped right at the start,
but the large companies made a business out of keeping it going",Conspiracy,"Company / Pharmacy / Organization, Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"COVID-19 (coronavirus) epidemic could have been stopped right at the start, but the large companies made a business out of keeping it going.",139,Covid19
39,"COVID-19 (coronavirus) epidemic could have been stopped right at the start,
but the large companies made a business out of keeping it going",Conspiracy,"Company / Pharmacy / Organization, Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"COVID-19 (coronavirus) epidemic could have been stopped right at the start, but the large companies made a business out of keeping it going.",139,Science
40,"The governments are concealing the real numbers of fatalities especially
in children and young people, to prevent panic",Controversy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"The governments are concealing the real numbers of fatalities especially in children and young people, to prevent panic.",119,Covid19
40,"The governments are concealing the real numbers of fatalities especially
in children and young people, to prevent panic",Controversy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"The governments are concealing the real numbers of fatalities especially in children and young people, to prevent panic.",119,Political
40,"The governments are concealing the real numbers of fatalities especially
in children and young people, to prevent panic",Controversy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"The governments are concealing the real numbers of fatalities especially in children and young people, to prevent panic.",119,Science
41,"SARS-CoV-2
(coronavirus) is artificially created to increase people’s
dependency on the pharmaceutical business",Conspiracy,"Company / Pharmacy / Organization, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,SARS-CoV-2 (coronavirus) is artificially created to increase people’s dependency on the pharmaceutical business.,111,Company / Pharmacy / Organization
41,"SARS-CoV-2
(coronavirus) is artificially created to increase people’s
dependency on the pharmaceutical business",Conspiracy,"Company / Pharmacy / Organization, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,SARS-CoV-2 (coronavirus) is artificially created to increase people’s dependency on the pharmaceutical business.,111,Science
42,"China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is
its revenge for the protests in Hong Kong",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,117,Covid19
42,"China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is
its revenge for the protests in Hong Kong",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,117,Political
42,"China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is
its revenge for the protests in Hong Kong",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,117,Science
43,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,95,Covid19
43,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,95,Political
43,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,95,Science
44,"The Chinese government intentionally sells ineffective face masks and dubious
tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government intentionally sells ineffective face masks and dubious tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.,174,Covid19
44,"The Chinese government intentionally sells ineffective face masks and dubious
tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government intentionally sells ineffective face masks and dubious tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.,174,Political
44,"The Chinese government intentionally sells ineffective face masks and dubious
tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government intentionally sells ineffective face masks and dubious tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.,174,Science
45,Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,Conspiracy,"Company / Pharmacy / Organization, Covid19",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,104,Company / Pharmacy / Organization
45,Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,Conspiracy,"Company / Pharmacy / Organization, Covid19",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,104,Covid19
46,"Governments want to use compulsory vaccination against COVID-19 to achieve
monitoring of the population.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Governments want to use compulsory vaccination against COVID-19 to achieve monitoring of the population.,104,Covid19
46,"Governments want to use compulsory vaccination against COVID-19 to achieve
monitoring of the population.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Governments want to use compulsory vaccination against COVID-19 to achieve monitoring of the population.,104,Political
46,"Governments want to use compulsory vaccination against COVID-19 to achieve
monitoring of the population.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Governments want to use compulsory vaccination against COVID-19 to achieve monitoring of the population.,104,Science
47,"Widespread testing is a way for the government to obtain the DNA of the
population so that it can subsequently harbor it and abuse it.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Widespread testing is a way for the government to obtain the DNA of the population so that it can subsequently harbor it and abuse it.,134,Covid19
47,"Widespread testing is a way for the government to obtain the DNA of the
population so that it can subsequently harbor it and abuse it.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Widespread testing is a way for the government to obtain the DNA of the population so that it can subsequently harbor it and abuse it.,134,Political
